City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,16.25,74,29,9.68,SH,1706998914
1,grytviken,-54.2811,-36.5092,9.04,94,100,5.07,GS,1706998915
2,palencia,42.4167,-4.5,6.0,68,11,0.97,ES,1706998915
3,orchomenos,38.4929,22.9796,4.99,73,6,1.28,GR,1706998915
4,talnakh,69.4865,88.3972,-14.33,96,100,3.67,RU,1706998916
5,adamstown,-25.066,-130.1015,25.11,71,99,0.78,PN,1706998790
6,ulladulla,-35.35,150.4667,24.22,60,95,3.11,AU,1706998916
7,port-aux-francais,-49.35,70.2167,7.46,79,97,6.19,TF,1706998791
8,quellon,-43.1167,-73.6167,13.95,57,79,2.87,CL,1706998917
9,port lincoln,-34.7333,135.8667,22.25,62,0,3.3,AU,1706998917
10,klyuchi,52.2667,79.1667,-6.18,78,99,5.79,RU,1706998918
11,bethel,41.3712,-73.414,3.34,55,0,5.14,US,1706998786
12,margaret river,-33.95,115.0667,15.12,58,76,5.8,AU,1706998919
13,fu'an,27.0892,119.6453,12.98,97,100,1.09,CN,1706998919
14,whitehorse,60.7161,-135.0538,-23.83,55,20,2.06,CA,1706998851
15,port moresby,-9.4431,147.1797,26.68,89,40,5.14,PG,1706998682
16,udachny,66.4167,112.4,-30.95,84,80,1.18,RU,1706998794
17,antofagasta,-23.65,-70.4,23.6,71,6,1.61,CL,1706998920
18,malango,-2.9627,119.9001,20.52,97,100,0.74,ID,1706998921
19,waitangi,-43.9535,-176.5597,17.68,71,28,1.79,NZ,1706998784
20,nova sintra,14.8667,-24.7167,21.36,71,89,4.57,CV,1706998921
21,turki,51.987,43.2731,-2.04,96,100,6.78,RU,1706998922
22,constantia,44.1833,28.65,3.38,76,71,5.53,RO,1706998922
23,ribeira brava,32.65,-17.0667,19.35,54,89,3.28,PT,1706998923
24,pariaman,-0.619,100.12,24.03,86,98,1.64,ID,1706998924
25,westport,41.1415,-73.3579,4.3,53,0,3.6,US,1706998740
26,bilibino,68.0546,166.4372,-29.62,85,11,3.11,RU,1706998924
27,broken hill,-31.95,141.4333,30.71,15,99,4.87,AU,1706998925
28,tual,-5.6667,132.75,28.78,78,100,4.31,ID,1706998925
